Job Title,Company Name,Location,Education Requirements,Experience Requirements
General Manager - Business Development,XGL,Anywhere in Bangladesh,Masters/Bachelor’s degree preferably in Business background.No 3rd Division/Class or equivalent...,5 to 10 year(s)
Business Development Officer,ACI Motors Limited,Anywhere in Bangladesh,HSC,At least 1 year(s)
Business Development Associate,SuperTel Limited,Uttara Sector 13,"HSC
A Level",3 to 7 year(s)
Asst. Manager / Sr Executive - Business Development,Intellier Limited,Kawran Bazar,"Bachelor of Business Administration (BBA)
Master of Business Administration (MBA)",2 to 5 year(s)
Business Development Manager,STAR LINE FOOD PRODUCTION LTD,Feni,Bachelor degree in any discipline,At least 12 year(s)
Business Development Manager (Direct Sales),Fronture Technologies Limited,Dhaka,"Bachelor of Business Administration (BBA) in Marketing
Bachelor of Arts (BA)
Master of Business...",1 to 3 year(s)
Executive - Business Development,Tiger New Energy Co. Ltd.,Anywhere in Bangladesh,Bachelor degree in any discipline,1 to 2 year(s)
Business Development Executive,SBAC Bank Investment Limited,Anywhere in Bangladesh,"B.Sc. in Mechanical, Diploma in Mechanical.",3 to 10 year(s)
"Jr. Officer/Jr. Executive, Business Development",Bikroy.com,Dhaka,"Bachelor of Business Studies (BBS)
Bachelor of Business Administration (BBA) in Marketing
Bachelor...",1 to 3 year(s)
Telemarketing Executive/Business Development Executive,Mastermind Graphics,Adabor,"Bachelor of Science (BSc) in Electrical & Electronic Engineering
Bachelor of Science (BSc) in...",At least 1 year(s)
Deputy Manager/ Manager - Business Development,Concord Group,Dhaka,Bachelor’s Degree in any discipline,8 to 15 year(s)
Business Development Officer - Home Loan,IPDC Finance Limited,"Chattogram, Dhaka","Bachelor of Pharmacy (B.Pharm) in Pharmacy
The applicant must be a registered pharmacist with a...",At least 2 year(s)
Business Development Executive,Alif Attar Company,Anywhere in Bangladesh,"Diploma in Computer in Computer Engineering
Bachelor of Science (BSc) in Computer Science &...",1 to 5 year(s)
Business Development Analyst,Apex Data Management & IT Ltd,Banani,স্নাতকোত্তর/স্নাতক।,3 to 5 year(s)
