Company,Title,Location,Description
United Nations Development Programme (UNDP),"* UN Women: Programme Analyst, Women’s Economic Resilience and Livelihoods, Bangladesh, Cox's Bazar, NOA, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
Bdjobs.com,Financial Analyst - For RAHMA HOME CARE AGENCY LLC (USA BASED ORGANIZATION) (Job ID : 1325039),"Dhaka, Bangladesh",Description not available
UN Women,"UN Women: Programme Analyst, Women’s Economic Resilience and Livelihoods, Bangladesh, Cox's Bazar, NOA, Fixed Term Contract","Cox’s Bazar, Chattogram, Bangladesh",Description not available
United Nations Development Programme (UNDP),"* UN Women: National Consultant (Civil Engineer), Cox's Bazar, SSA","Cox’s Bazar, Chattogram, Bangladesh",Description not available
World Food Programme,Programme Associate G6,"Rangamati, Chattogram, Bangladesh",Description not available
The Second Source,Excel Analyst and Team Leader,"Bogra, Rajshahi, Bangladesh",Description not available
UNFPA Supply Chain,"International Consultant-Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Team Leader","Dhaka, Dhaka, Bangladesh",Description not available
Hyatt Place,Assistant Manager - Revenue,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Research & Development Consultant. (For Eastern Insurance Company Ltd.) - Job ID : 1329990,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate/Senior Associate (Accounts & Taxation) - For Tokyo Consulting Firm Limited (Job ID :1330677),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate Sales Specialist (For Permitdeny Limited)-Job ID: 1327741,"Dhaka, Bangladesh",Description not available
Apex DMIT Ltd.,Finance & Account Analyst,"Dhaka District, Dhaka, Bangladesh",Description not available
Bdjobs.com,"Associate/ Assistant Officer, QC - For Ayesha Abed Foundation- Job ID : 1331848","Dhaka, Bangladesh",Description not available
Nafisa Trims,Associate,"Dhaka, Dhaka, Bangladesh",Description not available
NOFEAR-MEPC(JV),Associate,"Dhaka, Bangladesh",Description not available
United Nations Population Fund (UNFPA),"National Consultant: Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Population Dynamics Expert","Dhaka, Dhaka, Bangladesh",Description not available
United Nations Population Fund (UNFPA),"National Consultant: Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Gender Equality and Womens Empowerment Expert","Dhaka, Dhaka, Bangladesh",Description not available
UNFPA Supply Chain,"National Consultant: Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Gender Equality and Women’s Empowerment Expert","Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Visa consultant (For Zest Travel Shop)-Job ID: 1323660,"Dhaka, Bangladesh",Description not available
STS Global Education Dhaka,Educational Consultant - Canada,"Dhaka, Bangladesh",Description not available
Kishor It Park,Analyst,"Rajshahi, Bangladesh",Description not available
Mastercard,"Representative, Contact Center-R-232708","Dhaka, Dhaka, Bangladesh",Description not available
EnCompass LLC,Evaluation Team Leader (Consultant),"Dhaka, Dhaka, Bangladesh",Description not available
Optimizely,Associate Customer Success Manager,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Senior Visa Consultant (For Center for Bangladesh Digital Services)-Job ID: 1325607,"Sylhet, Bangladesh",Description not available
NWC Education,Destination Manager/Sr. Student Consultant,"Sylhet, Sylhet, Bangladesh",Description not available
IFC - International Finance Corporation,Associate Operations Officer - req31315,"Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Consultant - Sales (For building technology & ideas ltd.) - Job ID : 1324756,"Dhaka, Bangladesh",Description not available
United Nations Population Fund (UNFPA),"National Consultant: Evaluation Consultancy for UNFPA Bangladesh 10th Country Programme Evaluation (2022-2026), Sexual Reproductive Health Rights (SRHR) Expert","Dhaka, Dhaka, Bangladesh",Description not available
Savvy Educare,Sales Associate,"Dhaka, Dhaka, Bangladesh",Description not available
munshigonj sanitary,Analyst,"Munshiganj District, Dhaka, Bangladesh",Description not available
Daily Free Job Alerts,Sales Associate,"Uttara Model Town, Dhaka, Bangladesh",Description not available
World Food Programme,"Market Development Activities (MDA) Consultant, CST II, Cox's Bazar","Cox’s Bazar, Chattogram, Bangladesh",Description not available
SCHOLARSHIP BD,Commission Sales Associate,"Khulna, Bangladesh",Description not available
Talent Care Education,Telesales Consultant (Work from Home),"Dhaka, Bangladesh",Description not available
Bdjobs.com,Senior Student Consultant - For UniEducare (Job ID : 1331020),"Gulshan, Dhaka, Bangladesh",Description not available
Impact Investment Exchange (IIX) Careers,"SVP/Associate Director, Research & Advisory - Bangladesh","Dhaka, Dhaka, Bangladesh",Description not available
Lalamove,"Associate (Onboarding), Driver Operations","Dhaka, Dhaka, Bangladesh",Description not available
EnCompass LLC,"Consultant: MEL and GESI Specialist, GESI Analysis of USAID Bangladesh DRG Portfolio","Dhaka, Dhaka, Bangladesh",Description not available
Bdjobs.com,Associate Professor/Assistant Professor (For Anwer Khan Modern University) - Job ID : 1324658,"Uttara, Dhaka, Bangladesh",Description not available
Bdjobs.com,Network and Infrastructure Consultant - For FSN Solution Limited (Job ID :1329739),"Dhaka, Bangladesh",Description not available
Shapes & Space,Associate Architect,"Dhaka, Bangladesh",Description not available
atB Jobs Bangladesh,Student Consultant (Study Abroad & Student Loan Specialist) Achieve Japan,"Dhaka, Bangladesh",Description not available
Bdjobs.com,Consultant (For Khwaja Yunus Ali Medical College and Hospital) - Job ID : 1331823,"Sirajganj District, Rajshahi, Bangladesh",Description not available
BIG BOSS IN,Sales Associate,"Gulshan, Dhaka, Bangladesh",Description not available
North East University Bangladesh,"Associate Professor, Department of Computer Science and Engineering (CSE)","Sylhet, Sylhet, Bangladesh",Description not available
Standard Chartered,"Associate Director, Priority Client Acquisition","Dhaka, Dhaka, Bangladesh",Description not available
Haata Dhaka,Heritage Tour Guide (Associate Curator),"Farashganj, Bangladesh",Description not available
Rohingya Advocacy Centre,Consultant (Firm) Baseline Mapping & Planning,"Cox’s Bazar, Chattogram, Bangladesh",Description not available
North East University Bangladesh,"Associate Professor, Department of Law and Justice","Sylhet, Sylhet, Bangladesh",Description not available
Study Abroad Global,Educational Consultant/Counselor,Bangladesh,Description not available
Bdjobs.com,Consultant/ Senior Consultant- Obstetrics & Gynecology (For Ship International Hospital) - Job ID : 1328364,"Uttara, Dhaka, Bangladesh",Description not available
Bdjobs.com,Radiologist (MD/M.Phil.) Senior Consultant - For Sara Medicale Center- Job ID : 1328914,"Dhaka, Bangladesh",Description not available
